,FreshChoice Epsom,FreshChoice Flat Bush,FreshChoice Glen Eden,FreshChoice Half Moon Bay,FreshChoice Mangere Bridge,FreshChoice Otahuhu,FreshChoice Palomino,FreshChoice Papakura,FreshChoice Ranui,FreshChoice Titirangi,Metro Albert Street,Metro Halsey Street,Metro Herne Bay,SuperValue Avondale,Woolworths Airport,Woolworths Auckland City,Woolworths Auckland Victoria Street West,Woolworths Birkenhead,Woolworths Blockhouse Bay,Woolworths Botany Downs,Woolworths Browns Bay,Woolworths Glenfield,Woolworths Greenlane,Woolworths Greville Road,Woolworths Grey Lynn,Woolworths Hauraki Corner,Woolworths Henderson,Woolworths Highland Park,Woolworths Hobsonville,Woolworths Howick,Woolworths Lincoln Road,Woolworths Lynnmall,Woolworths Mairangi Bay,Woolworths Mangere East,Woolworths Mangere Mall,Woolworths Manukau,Woolworths Manukau Mall,Woolworths Manurewa,Woolworths Meadowbank,Woolworths Meadowlands,Woolworths Milford,Woolworths Mt Eden,Woolworths Mt Roskill,Woolworths Mt Wellington,Woolworths Newmarket,Woolworths Northcote,Woolworths Northwest,Woolworths Onehunga,Woolworths Pakuranga,Woolworths Papakura,Woolworths Papatoetoe,Woolworths Ponsonby,Woolworths Pt Chevalier,Woolworths Roselands,Woolworths St Johns,Woolworths St Lukes,Woolworths Sunnynook,Woolworths Takanini,Woolworths Takapuna,Woolworths Te Atatu North,Woolworths Te Atatu South,Woolworths Three Kings,Woolworths Waiata Shores,Woolworths Westgate,Distribution Centre Auckland
FreshChoice Epsom,0,1433.43,1706.49,1602.7,860.59,1071.61,2033.19,2208.22,1994.62,1646.53,1006.2,1099.33,1335.95,1139.93,1324.55,928.31,868.51,1445.34,1159.05,1510.25,2311.62,1780.82,268.59,1873.53,1107.04,1626.94,1861.14,1621.4,2141.3,1888.81,1611.29,1339.88,2080.78,1160.13,1169.15,1305.97,1370.16,1894.38,773.21,1808.8,1843.95,645,702.87,830.97,533.95,1415.8,1795.03,548.23,1101.25,2169.47,1246.82,898.66,1051.47,2179.06,1171.16,654.86,1753.99,1915.97,1487.96,1669.51,1461.68,448.05,1741.12,1835.94,1051.21
FreshChoice Flat Bush,1444.6,0,2591.67,1413.13,1230.07,883.78,2967.47,1346.81,2928.9,2531.7,1940.48,2033.61,2270.23,2025.1,1379.26,1862.59,1802.79,2379.63,2044.22,651.28,3245.91,2715.1,1309.77,2807.81,2041.32,2561.23,2795.42,1195.95,3075.58,1174.12,2545.57,2225.05,3015.07,1022.48,1085.33,352.42,437.14,823.9,1635.22,972.16,2778.24,1958.2,1850.2,1060.86,1582.27,2350.08,2729.32,1507.86,1220.14,1308.05,517.62,1832.94,1985.76,1317.64,1669.65,2064.59,2688.28,1054.56,2422.24,2603.8,2395.97,1701.25,879.7,2770.23,1381.65
FreshChoice Glen Eden,1749.08,2706.75,0,3171.77,1623.62,2318.3,882.68,3271.02,1102.21,382.05,1843.47,1964.97,1704.31,730.32,2087.58,1860.77,1826.04,2310.99,755.91,3079.31,2742.35,2549.53,2003.32,2304.25,1664.74,2492.59,602.39,3190.47,1752.87,3457.88,973.92,604.42,2565.92,1923.16,1932.18,2502.58,2364.57,2503.66,2381.14,3377.87,2772.76,1614.56,1277.04,2400.04,1791.07,2281.44,1406.61,1521.69,2670.32,3232.27,2440.67,1556.8,1157.7,3241.86,2779.09,1325.72,2424.45,2978.77,2353.6,1228.18,760.1,1516.27,2803.92,1447.52,1814.24
FreshChoice Half Moon Bay,1590.71,1467.59,3020.31,0,1892.74,1412.25,3113.57,2565.2,3075.01,3157.57,2086.58,2179.72,2416.34,2422.34,2356.7,2008.7,1948.9,2525.73,2739.37,813.02,3392.01,2861.21,1455.87,2953.92,2187.43,2707.33,2941.52,346,3221.69,470.01,2691.68,2677.64,3161.17,1783.3,2337.74,1662.95,1727.13,2251.35,1436.16,749.7,2924.34,2104.3,2260.13,1054.59,1728.37,2496.19,2875.42,1556.37,632.36,2526.44,1582.09,1979.05,2131.86,2536.03,1220.98,2210.69,2834.38,2272.94,2568.35,2749.9,2542.07,2005.31,2098.09,2916.33,1807.9
FreshChoice Mangere Bridge,890.65,1373.48,1548.26,1928.87,0,846.86,2368.14,1937.75,2329.57,1488.29,1623.08,1716.21,1773.7,981.69,775.73,1545.19,1485.39,2062.23,1000.81,2077.26,2928.51,2397.7,984.32,2490.41,1668.02,2243.83,2196.09,1947.57,2476.25,2214.97,1946.24,1181.64,2697.67,589.89,473.46,1169.31,1031.3,1170.39,1423.04,2375.82,2460.83,1235.04,806.79,1215.38,1150.02,2032.68,2129.98,464.45,1427.41,1899,1107.4,1560.08,1227.09,1908.58,1698.06,1062.43,2370.88,1645.5,2104.84,2004.47,1796.64,657.84,1470.64,2170.89,415.34
FreshChoice Otahuhu,1018.43,876.36,2448.03,1451.78,859.42,0,2541.3,1651.16,2502.73,2263.12,1514.31,1607.44,1844.06,1850.06,1110.67,1436.42,1376.62,1953.45,1775.64,1138.41,2819.73,2288.93,883.59,2381.64,1615.15,2135.05,2369.25,1470.48,2649.41,1638.93,2119.4,2105.36,2588.89,410.53,711.6,748.91,813.1,1337.31,1209.04,1436.97,2352.06,1532.02,1581.61,634.69,1156.09,1923.91,2303.14,950.29,950.33,1612.41,559.67,1406.77,1559.58,1621.99,1243.47,1638.41,2262.1,1358.91,1996.07,2177.63,1969.8,1433.03,1184.05,2344.05,486.67
FreshChoice Palomino,2231.48,3095.82,851.97,3265.09,2463.9,2734,0,3870.61,403.48,1142.68,1936.79,2058.29,1923.67,1527.94,2927.86,1954.09,1919.36,2404.31,1607.88,3172.64,2310.27,2117.45,2096.64,1872.18,1758.06,2521.1,448.48,3283.79,1320.8,3551.2,533.39,1264.26,2133.84,2763.44,2772.46,2968.37,3032.55,3556.77,2474.46,3471.2,2340.68,1920.96,1923.89,2493.36,1884.39,2373.26,974.53,2541.04,2763.64,3831.86,2909.21,1650.12,1371.02,3841.45,2872.41,1727.88,1992.37,3578.36,2382.11,1130.76,702.69,2176.83,3403.51,1015.44,2654.51
FreshChoice Papakura,2251.34,1512.22,3262.07,2587.34,1900.48,1690.52,3774.2,0,3735.64,3202.1,2747.21,2840.34,3076.97,2695.51,2049.66,2669.32,2609.52,3186.36,2714.63,2085.68,4052.64,3521.83,2116.5,3614.55,2848.05,3367.96,3602.15,2606.04,3882.31,2435.4,3352.31,2895.45,3821.8,1692.89,1755.74,1371.72,1212.86,1346.14,2441.95,2270.52,3584.97,2764.93,2520.6,1867.59,2389,3156.81,3536.05,2178.27,2281.38,212.91,1507.11,2639.68,2792.49,262.05,2476.38,2871.32,3495.01,525.32,3228.98,3410.53,3202.7,2371.66,811.04,3576.96,2052.06
FreshChoice Ranui,2144.32,3008.66,1118.36,3177.93,2376.74,2646.84,366.55,3783.46,0,1453.96,1849.63,1971.13,1836.51,1440.78,2840.7,1866.93,1832.2,2317.15,1894.07,3085.48,2223.11,2030.29,2009.48,1785.02,1670.9,2433.94,635.45,3196.64,1233.64,3464.04,446.23,1625.27,2046.68,2676.28,2685.3,2881.21,2945.39,3469.61,2387.3,3384.03,2253.52,1833.8,1836.72,2406.2,1797.23,2286.1,887.37,2453.88,2676.48,3744.7,2822.05,1562.96,1283.86,3754.29,2785.25,1640.72,1905.21,3491.2,2294.95,1043.6,669.33,2089.67,3316.35,837.04,2567.35
FreshChoice Titirangi,1660.58,2618.24,369.03,2964.93,1535.12,2229.8,1183.91,3182.52,1471.24,0,1984.68,2106.18,1844.08,811.43,1999.08,2001.97,1967.24,2452.19,550.93,3322.03,3151.78,2787.67,1894.47,2713.68,1805.94,2633.79,971.42,2983.63,2162.3,3251.03,1342.95,629.54,2975.35,1834.66,1843.68,2414.07,2276.07,2415.15,2522.34,3620.59,2850.8,1627.6,1189.47,2541.25,1932.27,2422.65,1816.04,1433.18,2463.47,3143.76,2352.17,1698,1297.47,3153.35,2920.29,1295.38,2833.88,2890.27,2494.81,1597.21,1129.13,1427.77,2715.41,1856.95,1725.73
