Type,Location,Store,Lat,Long
FreshChoice,Epsom,FreshChoice Epsom,-36.89276172,174.7797646
FreshChoice,Flat Bush,FreshChoice Flat Bush,-36.97676671,174.8972267
FreshChoice,Glen Eden,FreshChoice Glen Eden,-36.91087436,174.6545496
FreshChoice,Half Moon Bay,FreshChoice Half Moon Bay,-36.88106607,174.9002827
FreshChoice,Mangere Bridge,FreshChoice Mangere Bridge,-36.94250829,174.7869875
FreshChoice,Otahuhu,FreshChoice Otahuhu,-36.94480584,174.8431184
FreshChoice,Palomino,FreshChoice Palomino,-36.88287566,174.6161793
FreshChoice,Papakura,FreshChoice Papakura,-37.06606311,174.9556975
FreshChoice,Ranui,FreshChoice Ranui,-36.86353948,174.6015834
FreshChoice,Titirangi,FreshChoice Titirangi,-36.93739048,174.6572984
Metro,Albert Street,Metro Albert Street,-36.84350157,174.7658662
Metro,Halsey Street,Metro Halsey Street,-36.84358106,174.7578066
Metro,Herne Bay,Metro Herne Bay,-36.84651051,174.7334683
SuperValue,Avondale,SuperValue Avondale,-36.89776863,174.69741
Woolworths,Airport,Woolworths Airport,-36.99736985,174.7888823
Woolworths,Auckland City,Woolworths Auckland City,-36.84496186,174.7731192
Woolworths,Auckland Victoria Street West,Woolworths Auckland Victoria Street West,-36.84853355,174.7648512
Woolworths,Birkenhead,Woolworths Birkenhead,-36.81111802,174.7248776
Woolworths,Blockhouse Bay,Woolworths Blockhouse Bay,-36.92291876,174.7023521
Woolworths,Botany Downs,Woolworths Botany Downs,-36.92972626,174.9110718
Woolworths,Browns Bay,Woolworths Browns Bay,-36.71714479,174.7472772
Woolworths,Glenfield,Woolworths Glenfield,-36.78148813,174.7234262
Woolworths,Greenlane,Woolworths Greenlane,-36.88916156,174.7935037
Woolworths,Greville Road,Woolworths Greville Road,-36.73170033,174.7209467
Woolworths,Grey Lynn,Woolworths Grey Lynn,-36.85416528,174.7317139
Woolworths,Hauraki Corner,Woolworths Hauraki Corner,-36.79667981,174.7781249
Woolworths,Henderson,Woolworths Henderson,-36.88089456,174.6332277
Woolworths,Highland Park,Woolworths Highland Park,-36.89933061,174.9084309
Woolworths,Hobsonville,Woolworths Hobsonville,-36.79748845,174.6487257
Woolworths,Howick,Woolworths Howick,-36.89585201,174.9335377
Woolworths,Lincoln Road,Woolworths Lincoln Road,-36.8568778,174.6325126
Woolworths,Lynnmall,Woolworths Lynnmall,-36.90687152,174.6850146
Woolworths,Mairangi Bay,Woolworths Mairangi Bay,-36.73941255,174.7540551
Woolworths,Mangere East,Woolworths Mangere East,-36.9657908,174.825346
Woolworths,Mangere Mall,Woolworths Mangere Mall,-36.96987802,174.8011202
Woolworths,Manukau,Woolworths Manukau,-36.98676855,174.8848148
Woolworths,Manukau Mall,Woolworths Manukau Mall,-36.99174967,174.8831931
Woolworths,Manurewa,Woolworths Manurewa,-37.01734442,174.8651097
Woolworths,Meadowbank,Woolworths Meadowbank,-36.87610706,174.8289359
Woolworths,Meadowlands,Woolworths Meadowlands,-36.9132518,174.929465
Woolworths,Milford,Woolworths Milford,-36.77197217,174.7666177
Woolworths,Mt Eden,Woolworths Mt Eden,-36.87718131,174.7523352
Woolworths,Mt Roskill,Woolworths Mt Roskill,-36.90203359,174.7356996
Woolworths,Mt Wellington,Woolworths Mt Wellington,-36.9093147,174.837989
Woolworths,Newmarket,Woolworths Newmarket,-36.8705446,174.7754093
Woolworths,Northcote,Woolworths Northcote,-36.80035237,174.7455338
Woolworths,Northwest,Woolworths Northwest,-36.81879206,174.6129291
Woolworths,Onehunga,Woolworths Onehunga,-36.92249969,174.7838024
Woolworths,Pakuranga,Woolworths Pakuranga,-36.91284146,174.8714299
Woolworths,Papakura,Woolworths Papakura,-37.06390487,174.9447236
Woolworths,Papatoetoe,Woolworths Papatoetoe,-36.97039494,174.862111
Woolworths,Ponsonby,Woolworths Ponsonby,-36.8584399,174.7491386
Woolworths,Pt Chevalier,Woolworths Pt Chevalier,-36.86957431,174.7105595
Woolworths,Roselands,Woolworths Roselands,-37.0589478,174.9414297
Woolworths,St Johns,Woolworths St Johns,-36.87888192,174.8548393
Woolworths,St Lukes,Woolworths St Lukes,-36.88336862,174.7347459
Woolworths,Sunnynook,Woolworths Sunnynook,-36.75907026,174.7406941
Woolworths,Takanini,Woolworths Takanini,-37.04764284,174.9279243
Woolworths,Takapuna,Woolworths Takapuna,-36.79125414,174.7662056
Woolworths,Te Atatu North,Woolworths Te Atatu North,-36.84209292,174.6542381
Woolworths,Te Atatu South,Woolworths Te Atatu South,-36.86472278,174.6476292
Woolworths,Three Kings,Woolworths Three Kings,-36.90796057,174.7559072
Woolworths,Waiata Shores,Woolworths Waiata Shores,-37.03553485,174.9078539
Woolworths,Westgate,Woolworths Westgate,-36.82092949,174.6146464
Distribution Centre,Auckland,Distribution Centre Auckland,-36.94904179,174.8080123
